CompTotal,YearsOfExperience,MainBranch,Country,EducationLevel,RemoteWork,Salary
140000.0,13.0,Profession,United States of America,Bachelor's degree,Remote,140000.0
35000.0,6.0,Profession,Italy,Bachelor's degree,Hybrid,37592.0
92000.0,17.0,Profession,United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,Hybrid,117197.0
175000.0,22.0,Profession,United States of America,Upper than Master's degree,Hybrid,175000.0
123000.0,3.0,Profession,United States of America,Master's degree,In-person,123000.0
82000.0,25.0,Profession,Germany,Less than Bachelor's degree,Hybrid,88073.0
60000.0,6.0,Profession,Slovakia,Master's degree,Remote,64444.0
125000.0,8.0,Profession,Switzerland,Bachelor's degree,Remote,139271.0
42000.0,4.0,Developer,Italy,Master's degree,Remote,45111.0
50000.0,6.0,Profession,Netherlands,Bachelor's degree,Hybrid,53703.0
150000.0,18.0,Profession,United States of America,Less than Bachelor's degree,Remote,150000.0
50400.0,10.0,Profession,Other,Master's degree,Remote,50400.0
65000.0,22.0,Profession,Germany,Less than Bachelor's degree,Hybrid,69814.0
114000.0,14.0,Developer,Germany,Master's degree,Remote,122443.0
85000.0,10.0,Profession,Portugal,Master's degree,Remote,91295.0
110000.0,16.0,Profession,Canada,Master's degree,Hybrid,79962.0
25000.0,7.0,Profession,Italy,Upper than Master's degree,In-person,26852.0
130000.0,2.0,Profession,United States of America,Upper than Master's degree,In-person,130000.0
65000.0,3.0,Profession,Netherlands,Bachelor's degree,Hybrid,69814.0
160000.0,6.0,Profession,United States of America,Less than Bachelor's degree,Remote,160000.0
62790.0,4.0,Profession,Switzerland,Less than Bachelor's degree,Hybrid,69959.0
40000.0,2.0,Profession,Israel,Bachelor's degree,In-person,10794.0
20000.0,2.0,Profession,Other,Less than Bachelor's degree,Hybrid,21481.0
330000.0,8.0,Profession,Poland,Bachelor's degree,Hybrid,81663.0
24000.0,19.0,Profession,Argentina,Less than Bachelor's degree,Hybrid,24000.0
52800.0,12.0,Profession,Brazil,Bachelor's degree,Remote,52800.0
40000.0,18.0,Profession,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,Hybrid,50955.0
137000.0,6.0,Profession,United States of America,Less than Bachelor's degree,Hybrid,137000.0
99000.0,27.0,Profession,Brazil,Bachelor's degree,Hybrid,18462.0
150000.0,10.0,Profession,United States of America,Bachelor's degree,Remote,150000.0
120000.0,7.0,Profession,United States of America,Less than Bachelor's degree,Hybrid,120000.0
100000.0,22.0,Profession,United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,Remote,127388.0
230000.0,4.0,Profession,Poland,Master's degree,Hybrid,56917.0
75000.0,4.0,Profession,United States of America,Bachelor's degree,Hybrid,75000.0
87500.0,8.0,Developer,United States of America,Master's degree,Hybrid,87500.0
70000.0,7.0,Profession,United States of America,Bachelor's degree,In-person,70000.0
35000.0,28.0,Profession,Italy,Less than Bachelor's degree,Hybrid,37592.0
126000.0,17.0,Profession,United States of America,Less than Bachelor's degree,Hybrid,126000.0
152000.0,13.0,Profession,United States of America,Bachelor's degree,Remote,152000.0
18382.0,5.0,Profession,Italy,Less than Bachelor's degree,Remote,19743.0
